title,genres,year
Atotonilco,Classic|Bass,1997
When The Saints Go Marching In,Jazz|Hate|Folk|Classic,2002
Town Topic  Instrumental ,Jazz|Classic|Romance,2008
Player No More,Classic,1997
Waterfall,Jazz|Rap-Comb|HeavyMetal,2003
Out In The Street  Live In Cleveland_ Ohio ,Classic,1997
Humppa,HeavyMetal,2009
Easier By Now,Jazz|Folk|Rock|Musical,1997
Spirit and Machine,Classic|Romance,1997
Track TAKE FIVE,Documentary|Musical,1997
Porcelain Man,Folk,1999
Turntable Terrorist,Folk|Classic,1995
PDA,Classic,2009
 Wake Up  Time to Die,Jazz|Folk|Musical,1985
I Only Have Eyes For You  Album Version ,Folk,2005
Jody,Classic,1997
Dept  Of Youth,Folk|Solo|HeavyMetal,1997
Where the Rats 3,Solo,1997
Turn Around  LP Version ,Folk,1997
Hary Janos Suite : VI  A csaszari udvar bevonulasa  Entrance of the Emperor and his Court ,Jazz|Classic|HeavyMetal,1997
Horrible,Jazz|Rock,1995
Another Year,Folk|Musical|Romance,2000
Noches Arabes,Classic|Bass|Romance,1986
Aurora,Art|Hate|Rock,1997
Hatesex  Reborn ,Musical,1997
Ridin' High,Solo,1997
Circle Of Hands  For A Time Like This Album Version ,Love|Jazz|Folk,1997
Memphis In The Meantime,Love|Jazz|Folk,1987
Knowledge Is King,Love|Base|Classic|HeavyMetal,1989
Decir Adios,Classic,1999
Piano Sonata No  28 in A Op  101  1993 Digital Remaster : III     Adagio_ ma non troppo,Folk|Classic,1997
Pranafestation,Folk|Romance,2006
Sleeping My Day Away [Live],Classic|Romance,1997
Collapsar,Hate|Folk,1977
Let's Get It Started,Love|Folk,2004
There Will Be Blood Tonight,Folk|Romance,2000
Sentimental Journey,Folk|Classic,1997
Harlem Shuffle,Love|Jazz|Folk|Classic|War,1999
Step 2 It,Folk,1997
I believe,Love|Classic,1997
The Drop Off,Love|Jazz|Classic,2006
In The Name Of God  Gentle Revolution Album Version ,Classic|Romance,1997
Tabloid Junkie,Western,1995
Bubulina,Folk|War,1975
Immonumental,Solo|Bass,2009
Borrow Mine,Jazz|Hate,2004
Under The Palms,Solo|Rap-Comb,2000
Limosna De Amores,Solo|Rap-Comb,1999
Superstar,Solo|Bass|HeavyMetal,2008
Seis Perlas Cubanas,Solo|HeavyMetal,1997
Rebelion,Love|Jazz|Classic,1997
Mi Alma Esta Enamorada,Classic|Romance,1996
Pish Tash,Folk,1997
Hao Lai Hao Qu,Classic,1997
Moving Up,Base|Classic|HeavyMetal,1997
Did You Ever Go Sailin',Folk,1997
Nobody's Perfect,Love|Jazz|Rap-Comb|HeavyMetal,1988
Tigers Fucking  Spoken Word   Album Version ,Base|HeavyMetal,2000
Vollmond,Folk,2000
This Train  Munk Edit ,Classic|Romance|War,1997
Give Your Heart a Home,Western,1991
Real McKoy Feat  Busy Signal,Base|Classic|Western,2007
Catch Me In The Morning  Album Version ,Love|Folk,1997
No Comprimise_ No Regrets,Classic,2005
La Vida Eres,Folk|Classic,1997
Missing,Classic|Romance,1997
Peer Gynt   Incidental Music  2004 Digital Remaster : 4    In the Hall of the Mountain King,Classic,1997
A la Hora,Classic|Romance,1997
Destroy 2000 Years Of Culture,Documentary,1997
Crack,Folk|Base|Classic|Rock,1988
Stand By Me  Freedom Band Album Version ,Classic,1997
Birdies,Folk|Romance,1997
Evil Ways,Jazz|Folk|Romance,1989
Tramonto Etnico,Folk,1997
Distant Voices,Classic|HeavyMetal,2002
Give Me Your Word,Classic|Film|Bass|Romance,1997
Tudo E Ilusao  1997 Digital Remaster ,Musical|Romance|War,1997
Hurry Hurry Baby  Dj Edit ,Classic|Romance,1997
Improv #1,Classic|Romance,2006
Kids In the Store,Love|Classic|War,2003
Losing Weight Part 2,Folk|Musical,2002
Fingerprints,Love|Jazz|HeavyMetal,2007
Star,Love|Jazz|HeavyMetal,2004
Jody,Love|Jazz|HeavyMetal,1971
Love Without Fear,Jazz|Classic|Romance,1997
Rain Please Go Away,Love|Western,1997
Goofy Golf,Base|Classic|HeavyMetal,1997
Get Back,Hate|Folk,1997
Peace Prayer,Love|Base|HeavyMetal,1997
The Legionnaire,Love|Base|Classic|HeavyMetal,1997
On The Boards,Folk|Classic,1970
Life,Folk|Romance,1998
Meditations,Classic,1997
You Made The Difference To My Life  LP Version ,Love,1997
She Will Never Let Me Down,Jazz|Classic,1998
Flash_ Crash and Thunder,Classic|HeavyMetal,1997
Pus Filled Carcass,Jazz|Folk|Rock|Rap-Comb,1997
Death Don't Have No Mercy,Classic|Romance,1970
Stranger In My Room,Jazz|Classic,2010
Sabina,Classic|Rock|Musical,1997
I'm Going Around In Circles,Classic|War,1997
Bubbles in My Beer,Folk|Base|Classic,1991
Sangre americana,Solo|HeavyMetal,2004
Hip Hug Her,Folk|Classic,1997
Wigue,Classic,2010
In Place Of Love [edit],Folk|Classic,1997
Grin'in In Ya Face,Folk|Romance,1997
Of Myth And Men  Album Version ,Classic,2008
Are We Mindless?,Solo|HeavyMetal,1997
Playing the Role of God,HeavyMetal,1997
World Of The Video Game,Documentary,1997
My Mind Is Gone,Love|Base|Classic|Rap-Comb|HeavyMetal,1997
Prove Something  explicit album version ,Love|Base|Rap-Comb|HeavyMetal,2002
Arrivederci Roma,Jazz|Hate|Folk|Base|Rock|Bass,1997
Christelle Est Une Ordure,Classic,2005
Burlesque burglary,Love|Jazz|HeavyMetal,1997
Mine Yuh Business,Love|Jazz|HeavyMetal,1997
Encore,Love|Jazz|HeavyMetal,1997
Are You Home,Solo|HeavyMetal,1997
I Love It [Clubstar Remix],Love|Jazz|HeavyMetal,2006
Punjabian Di Chale Glassi,Solo|HeavyMetal,2003
No La Dejes Sola,Classic,2008
Mystic River,Folk|Classic|Rock,2007
Romance,Love|Jazz|Classic|Rock,2009
Unconditionally  Soul and R&B ,Documentary,1997
Lu Ren Jia,Folk|Classic|Romance|War,1997
Rock Of Gibraltar,Folk|Romance,2003
O Come All Ye Faithful,HeavyMetal,2003
Blue Yodel No  1 T For Texas ,Classic|HeavyMetal,1997
Maldito Amor Featuring Tito El Bambino  Version Urbana ,Documentary,1997
Holly & The Ivy  Album Version ,Classic|Rap-Comb,1997
Three Bells   Les 3 cloches,Classic,1997
I Promise My Heart,Classic,1997
Hide Thou Me,Folk|Solo,1997
Melody,Folk,1997
Cordeiro De Nana,HeavyMetal,1997
Narrow Grave,Solo,1997
C'est moi le mari,Solo,1997
Derek Taylor   Introduction,Folk|Solo|Rap-Comb,1997
No One,Base|Classic,1997
Juguete,Love|Classic,1972
I Put a Spell on You,Solo,1956
Luminous Bliss,Folk|War,2005
S O S ,Solo|Rap-Comb,1997
Le ThA c AC tre   Bof L'Important C'Est D'Aimer,Folk,1997
Can't Hold Back,Love|Classic,1997
Boat Day At the Marina,Love|Jazz,1997
Why We Thugs  edited version ,Folk,1997
La Luna Enamora   Original,Love|Classic|Rap-Comb|HeavyMetal,1997
When Will I Be Loved,Folk|Rap-Comb,1990
Gangsta's Fairytale 2  Explicit ,Jazz|Hate|Folk|Musical,1997
Fanfare For Freedom,Folk|Classic|War,1997
Are We Really Doing Your Will,Jazz|Classic,1997
Religion,Western,1997
Contessa Entellina,Classic,2001
Again,Folk,1997
Drummer Boy,Folk,1997
Heiliges Feuer,Folk,1997
Un Amor En El Olvido,Folk,1997
Bar Talk,Folk,1997
Fair Diana,Bass|Romance|HeavyMetal,1997
Happy Cycling,Folk|Classic,1996
Cursed Again,Folk|Romance,1997
Old Friends,Folk,1968
For Me And My Gal,Folk|Classic,1997
Freedom,Jazz|Folk|Rock,2008
We Will Rock You,Classic|War,2005
Personal Tragedy,Jazz|Hate|Rock|Rap-Comb,1999
Better Way Of Life,HeavyMetal,2001
Double Jig: The Rolling Wave,Base|Classic|HeavyMetal,1997
I'm Amazing,Folk,2004
Frontiers  LP Version ,Folk|Classic|Musical,1997
Roman Empire,Folk|Musical,1997
Urbania,Love|Classic|War,1997
Thank You Mama,Classic|HeavyMetal,1997
Gone But Not Forgotten,Classic|HeavyMetal,1997
Celebration,Love|Classic|War,1997
Pushing Me Away  Album Version ,Folk|Classic,2000
Porn,Classic|Bass,2009
Why Don't You Spend The Night,Jazz|Folk|Rap-Comb,1980
Time Will Crawl  Extended Dance Mix ,Folk|Classic,1997
The Ultimate,Folk|Romance,1997
All Too Human,Classic|Romance,2007
Mr  Bozack,Western,1990
Razamataz,Classic|Solo,1997
Use Of A Weapon  Album Version ,Folk,2002
Confused,Documentary,2000
Evenfall,Classic,2010
Fleeting sound,Folk|Classic|Romance,2006
Hoy,Rock|Solo|Bass|Romance,1997
Down On My Knees,Love|Jazz|HeavyMetal,2006
No SA c   Lo Que Hacer,Classic,1997
Intro,Hate|Folk|Rock|Musical,1997
Represent,Folk|Rock|Romance,1997
Garden Of Eden,Folk|Rock,1997
Be With Me,Classic,2002
Strange Kinda Feeling  Take 4 ,Classic,1993
Right Now,Classic|War,2003
Black Betty,Classic|Western,1997
Jingle Bell Rock,Classic|Romance,1997
U Never Nu How Good U Had It,Classic,1989
Mulin' Around,Folk,1997
Knowledge Of Self  Evol Intent Remix ,Folk|Classic|Romance,2004
Swinging Down the Lane,Classic,1997
Sex Will Sell,Folk|Classic|Romance,1997
Hook Of Holland,Classic,1997
Special Someone,Classic|HeavyMetal,2001
McDermott's Fancy   Swans Among The Rushes   Chicago   The Swallow's Nest    jig ,Base|Romance|HeavyMetal,1997
Piranha,Classic|Romance,2008
Fixin' To Die Blues,Love|Folk|Base|HeavyMetal,1940
I Can't,Classic|Bass,1997
Sublime Control,Classic|Romance,1997
Arnold Layne,Love|Classic,2006
Strangerhood,Folk|Classic|Rock|Romance,1997
Venice Queen  Album Version ,Classic,2002
People Like New  LP Version ,Classic,1997
Oute Mia Fora,Classic,1997
It's Not Unusual,Love|Rock|Solo|Bass|HeavyMetal,2008
Running Sabotage,Jazz,1997
The Dance at The Gym,Classic,1997
Shi Qu Ni,Classic|Romance|War,1997
Maudits anglois,Folk,2009
The Bubble,Classic,2001
The Education Of Jamie,Folk|Classic,1997
Because   Part 1,Folk|Classic,1997
Dios Bendiga,Folk|Base|Classic,1997
Soon Come  2002 Digital Remaster ,Folk|Classic,1978
If I Had My Way I'd Tear This Building Down,Classic|War,1996
Awake  Album Version ,Classic,2001
La Ley De La Vida,Classic,2010
Goodnight Girl,Classic,1992
It's So Hard To Stumble  When You're Down On Your Knees ,Documentary|Musical,1997
Print,Classic|War,1997
An Afternoon On the Moon  Jet Jaguar's Remix ,Classic,2001
Rainin' In My Heart,Folk,1989
Ai De Jie Shi,Base|Classic,1997
Jokers and Thieves,Classic,1997
Doin' It,Classic|HeavyMetal,1997
Wanna Be A Star,Classic,1996
Heard 'Em Say,Love|Jazz|Rock,2005
Hot Cross Bun,Classic|Romance,1982
Please Come Home For Christmas,Classic|Romance|Rap-Comb,1986
Existing Alone,Hate|Folk|Rock,2001
Paint Ball,Classic,1997
Nena NeurA3tica,Art|Hate|Musical|IMAX,1997
Mule Get Up In The Alley,Classic,1997
Reach For The Ground,Classic|Romance,1997
Calling Dr Zarkov,Folk|Classic,1997
Black Tiger,Folk|Classic|Musical,1982
Telling Me Lies,Love|Classic,1993
I Know A Man,Folk|Classic,1997
Love Ain't A Play Thing,Jazz|Classic,1968
Le bar du grand dA c sir,Base|Classic|HeavyMetal,2002
I'm Gonna Make Her Mine   Original,Classic,1997
I'll Show You Love,Classic,1994
Small Axe,Folk|Classic,1999
ZA c lA c ,Jazz|Folk|Rap-Comb,1997
Holla Boyz Outro,Classic|Bass|HeavyMetal,1997
Easter Parade  1992 Digital Remaster ,Folk,1997
Green Fields   Album Version ,Classic,1997
Evalia,Classic,2003
Gospel Train  LP Version ,Classic,1997
Scenario,Documentary,1991
My Party  Kenna Remix ,Classic,2007
Hole In The Coal,Classic,1997
Suite nupcial  directo Enjoy 07 ,Classic,1997
Kick Jump   Part Jump,Hate|Classic,1998
Battle Of The Tom Tom,Jazz|Rap-Comb|HeavyMetal,1997
Poaki,Classic,1997
Smile,Classic|Romance,1997
I'm Poured Out Like Water,Classic|War,1996
Dirty Movies   Album Version ,Love|Base|Romance|HeavyMetal,1981
The Sun Shines From You,Base|Classic,2000
Catalyst  LP Version ,Folk|Classic,1997
Ghastly Indoctrination,Classic,2006
Rise,HeavyMetal,2005
Vuelve Junto A Mi,Love|Bass|HeavyMetal,1979
Toot Toot Dixie Bound,Romance,1997
Midnight Wind,Love|Folk,1997
Night Cruiser  Album Version ,Folk|Classic|Romance,1997
There Is a Way,Classic,1997
Assisted Suicide 2 5,Art|Hate,1997
Lian Ai Tian Chi,Classic,1997
Ice Cream Cakes,Classic,1972
Shagi po bitomu steklu,Bass|HeavyMetal,1997
If My Baby  LP Version ,Classic,1997
Better Off That Way,Classic,1997
Informer,Classic,2008
Spirit in My Life  Earnshaw's Instrumental ,Folk|Romance,1997
The Army Air Corps,HeavyMetal,1997
Mama's Boy,Folk,1979
Anxiety,HeavyMetal,1997
Groove It,Folk,1997
Tenderly,Folk,1997
Genius,Folk,2003
She Flock To Me,Folk|Romance,1997
Roll Back The Clouds,Classic,1997
Travellin'  Album Version ,Folk|Base,1997
Studio Dialogue  #19 ,Folk,1997
Ji Nian Pin,Classic|HeavyMetal,1997
Evil Hearted Ada,Classic,1971
That's The Kind Of Baby For Me,Classic|Bass,2000
Introduction,Classic,1997
Oriza Eh,Folk,1997
Definition Of A Zilla'Naire,Folk,1997
Mi Amante Amigo,Folk|Classic,1997
Now everybody's gone,Love|Base|Classic|HeavyMetal,1997
I A I,Classic|Romance|HeavyMetal,1997
Yang Guang He Xu,Folk|Rock,1997
Everything I Desire,Jazz|Classic|Romance,1995
Wake Up! Wake Up!  Wake Up! Wake Up! Album Version ,Classic,2007
I Don't Give A F**K,Folk|Classic|Romance,1997
Hot Tamale Baby,Base|Classic|Bass|HeavyMetal,1987
Let The Chips Fall,Folk|Classic,1997
When You're Smiling   Sheik Of Araby,Love|Folk|Solo,1997
The Wonders,Love|Base|Classic|HeavyMetal,1997
In A Dead World  Album Version ,Folk|Base|Classic|HeavyMetal,1997
Dama Dam Mast Kalander,Love|Base|HeavyMetal|Western,1997
Jesus Walked This Lonesome Valley   The Christmas Guest Album Version ,Love|Folk,1997
Get Picked Up,Classic|Romance|Rap-Comb,1997
Printemps,Folk|Classic|Romance,1999
Ambulance Man,Classic,2001
La Barca,Base|Classic,1997
Laziness,Folk|Solo|Bass|HeavyMetal,1997
Avec lui,Classic|HeavyMetal,1997
ICU,Love|Base|Classic|HeavyMetal,1997
Tomame O Dejame,Folk,1997
Over You  feat Joyo Velarde_ prod DJ Shadow ,Solo,2005
My Girlfriend's Friend,Documentary,1997
Just A Little Bit Of You,Love,1975
Fuckin' Wita Psycho,Folk|Bass|Romance,1997
Only A Look,Jazz|Classic,1997
Do It,Folk,1997
Just A Phase,Art|Hate,2001
I'm Gonna Cry Til' My Tears Run Dry,Classic,2004
Werther   Lyric Classic in four Acts Act I RAave! Extase! Bonheur!,Solo,1997
Love & Devotion,Classic,2003
Everything's Gonna Be Alright  Live Version ,Classic,1997
It Is What It Is  feat  Anton X ,Base|Classic|HeavyMetal,1997
Losin' End  LP Version ,Folk|Classic,1997
Atto Quarto: 'La Fatal Pietra Sovra Me Si Chiuse   '  Radames   Verdi ,Solo|Rap-Comb|HeavyMetal,1997
Bop Moon,Folk|Base,1997
Broke Down,Folk,2009
Amdokwe,Documentary,1997
Indita Mia  Album Version ,Folk,1997
Mr  Sellack  Album Version ,Folk|Classic|Romance,1979
Hypnotise The Cat,Folk|Classic,1997
Nassau Town,Folk|Classic,1997
Too Late  Orange Factory Extended Mix ,Folk,2003
Pocket Calculator  2009 Digital Remaster ,Musical,1997
Dime,Love|HeavyMetal,1997
The Buzzard's Back in Town  Live ,Folk|Classic,1997
Look Me In The Eye,Folk|Base,1997
Harry Flowers,Folk,1993
The Lull Before The Storm,Folk|Classic,1999
Gonna Take a Miracle,Folk|Rap-Comb,1997
Orgasme Tellurique,Documentary,2003
SAMJHO NA,Base|Classic,1997
The Sun Shine Down My Way,Classic|Romance,2004
Neighbor_ Neighbor,Classic|Romance,1997
Trace Of Time,Classic,1997
Mary Had A Little Lamb,Base|Classic|Film|HeavyMetal,1988
This Ain't Pleasure,Documentary,1992
Hear Me Talking To You,Folk,1997
Man  On The Side,Classic|War,2004
The wrong woman,Solo,1997
Den Mporo Na Figo,Jazz|Hate,1997
Skylark,Jazz|Classic,1997
MVP,Classic,1997
Between Hell and A Heartbeat [Explicit],Folk|Romance,1997
Broken Promises  album version ,Rap-Comb,2004
I'll Come Running,Rock|Solo|Bass|HeavyMetal,2001
Thresh Hold,Classic|Romance,2004
Boulevard In Heaven,Folk|Classic|Rock|Romance,1997
Mambo del Beso,Folk|Classic,1997
Boogie,Classic|Romance,1997
Stagger Lee,Folk|Classic|Romance,1996
Two Four One,Base|Classic,1971
Survivalism,Folk|Classic,2007
Provisoirement,Base|Film,1997
AquaCityBoy,Classic|Western,2006
Chlore,Romance|Western,1994
Lala Song  Matesi DJ  Silverstatix remix,Classic|HeavyMetal,1997
Sarah Palin {I Wanna Lay Pipe},Love|War,1997
Santa Claus Is Coming To Town,Classic,1997
Fat Tianne,Classic,1997
Neir,Classic,1992
Nowhere To Run,Love|Base,1997
Mercy  Album Version ,Folk,1997
Sting Me,Classic|Bass|HeavyMetal,1992
You're Looking Good,Folk|Bass,2000
Cooling Out,Hate|Folk,1992
I See War,Love|Jazz,1997
Brother Brick Says,Jazz|Base|Classic|Romance,1997
Anita Love's,Folk,1997
UBIK The Breakz  feat  Martin Bettinghaus    Radio Mix,Folk,1997
If You Think You Are Lonely Now,Folk|Rock|Romance,1997
Little Drummer Boy,Folk|Romance,2008
Silencio De Aguas Profundas,Folk,1997
Studen plamuk,Jazz|Hate|Folk|Musical,1997
Lioraras,Hate|Folk,1997
Hiraeth am Feirion,Hate|Folk|Musical,1997
Saylarvee  LP Version ,Jazz|Hate|Rock,1997
Conversation,Jazz|Rap-Comb,1997
The Call,Folk|Classic|Romance,2000
Die Art von Mann,Classic|HeavyMetal,1997
Eddie's Pad,Love|Classic,1997
Liberty,Love|Classic,1997
L'horizon ChimA c rique,Love|Jazz|Classic|War,2000
Raza Cristalera,Classic,1997
The Tie That Binds,Classic|HeavyMetal,1997
First Boyfriend,Folk|Classic,2007
Seikurabe  Karaoke ,Jazz|Hate|Classic,1997
G G Kah,Classic|Romance|War,1997
The Mission,Classic,2002
Two Sided Politics,Jazz|Folk,1987
La Matanza,Jazz|Base|Classic,2008
On Tha Rox,Classic|HeavyMetal,1997
L'Amour en Heritage,Folk,1997
Medley Final,Folk|Romance,1997
All Over Now,Classic,1997
Cuando Ya Me Empiece A Quedar Solo,Classic,1973
Beautiful,Classic|Musical,2009
No More Troubles,Classic|Romance,1997
L A  Arteest CafA c ,Classic,2003
Juggernaut,Art|Folk,1997
Had To Call  featuring Snoop Dogg & Sleepy Eyed Jones    Explicit Chopped & Screwed Version ,Love|Base|Classic,2005
Runaway Train  LP Version ,Love|Classic,2000
Letters to Norway,Love|Classic,2007
They Know  Remix ,Love|Classic,1997
Still Love Remains  Album Version ,Love|Classic,1998
The First Leaves Of Autumn,Base|Classic|Film,1997
Bright Lights_ Big City,Classic|Romance,1997
Maybe Someday   ,Love|Hate|Folk|Rock|Rap-Comb,1987
j Uh!,Love|Hate|Rock,2004
Le clair de lune A  maubeuge,Love|Jazz|Hate|Folk|Rock,1997
Seventy Times Seven  LP Version ,Love|Classic|War,1997
Life Is Real,Love|Base|Classic,2006
Snow [Hey Oh] [Live Version],Love,1997
Silence,Bass|HeavyMetal,1997
Absolute Horizon,Folk|Classic,2008
Turnpike,Classic,2004
Spoonful,Folk|Classic|War,2009
Si Te Dicen Por Ahi,Classic,1997
L'Etang ChimA c rique,Folk,1997
On The Road To Emmaus,Classic,1997
Need More Blues,Love|Base|Romance|HeavyMetal,1993
Werewolf_ Semen And Blood,Classic|Romance,1993
Moritat  Mack The Knife ,Folk|Romance,1997
If You Ask Me,Classic|HeavyMetal,2006
Beauty Queen  12  Spoon Club Mix ,Classic,2005
Pickled Heads,Classic|Solo,2000
El Capiro,Jazz|Classic|HeavyMetal,1997
Revelations,Folk|Classic|Romance,2009
Little Cry For Him  Chorinho Pra Ele   LP Version ,Folk|Rock,1997
Silence,Classic|Western,1997
Just Like Lightnin',Classic,2006
Lost In The Funhouse Again,Classic,1975
The White Spirit,Jazz|Classic,1997
Escape From The City,Jazz|Classic|Rap-Comb,1997
Cri'r Adar Main,Folk,1997
Time Zone  Album Version ,Rap-Comb|HeavyMetal,1997
We're Together Again,Classic|Romance,1998
If Your Na Na Get Wet,Solo|Bass,1997
Mine Again,Folk|Classic,2005
Gone,Classic,2005
No One Knows,Jazz|Rock|Romance,1997
Procession,Classic|Romance,1990
Multiplayer,Folk|Classic|Romance,2007
Vennette,Art|Hate,2003
The  First Of The Year,HeavyMetal,2002
Ooh La La,Jazz|Folk|Rock,1997
Airto's Jazz Dance,Jazz|Folk|Romance,2001
When Summer's Through,Jazz|Classic|Western,1963
Bobby's Girl  Previously Unreleased Demo   Stereo ,Classic,1997
The Traveller,Folk,1997
Freight Train,Classic,1958
Cuando Quieres Tu,Classic|Solo|HeavyMetal,1997
Let It Be Me,Folk|Classic,1997
Aquel Amor,Folk|Romance,1997
Unicorn,Classic,1997
Into Battle,Classic|Bass|Rap-Comb,2004
 Do Minion,Folk|Classic,2010
Active,Classic|Bass|HeavyMetal,2008
Interlude: Livin'   In Complete Darkness,Folk|Classic,1997
Li Jia Chu Zou,Folk,1997
Times Like These,Love|Jazz|Classic|HeavyMetal|Western,1997
I'm A Killer,Classic|HeavyMetal,1997
Djessy,Folk,1997
Nightly Cares,Classic|Romance,2004
Love Selecta  feat Iffectz & Marwa ,Classic|HeavyMetal,1997
Whosoever Will  LP Version ,Classic,1997
A Girls Oath,Folk|Romance,1997
Rossignol Montmartrois  Polka ,Folk|Rock|Romance,1997
Ku Klux Klan,Love|Classic|War,1978
Anybody Seen My Girl,Folk|Classic,1994
Lively Up Yourself,Folk|Romance,1991
I'm All Yours  LP Version ,Folk,1997
Get On Our Own,Folk|Classic,1978
Concerto for Orchestra  Zoroastrian Riddles   1996  3  Adagio non troppo,Love|Rap-Comb|HeavyMetal,1997
Just My Baby,Classic|Romance,1989
Because Of You,Base|HeavyMetal,1997
I denna ljuva sommartid,Folk|Classic|Romance,2002
Shape Of My Heart,Classic,2000
Firedance,Base|Solo|Bass|HeavyMetal,1997
Hopelessly,Folk|Classic|Romance,1997
Let's Have Some Fun,Folk|Classic,1995
The Keys,Folk,1997
Juste Une Fois,Documentary,2004
Prelude In C Minor From The Well Tempered Clavier,Folk|Classic,1997
Love Can Run Faster,Folk,1978
The Blue Side of The Sun,Classic|Musical,2007
New Detroit,Classic|Solo|HeavyMetal,2005
da da Diamonds,Folk|Classic,2007
Livin' A Lie  Video Mix ,Folk|Musical|Romance,2001
Proud,Solo,1996
Communication  More Mix ,Base|Classic|HeavyMetal,1997
Passover,Folk,1980
Wolverine Blues  Slight Flaw In Master   1940 Blackhawk Restaurant Chicago ,Classic|HeavyMetal,1997
Rock & Roll Renegade,Classic|Romance,1997
C'Est Moi L'BO  ,Love|HeavyMetal|War,1997
Soo Bawlz,Classic|Romance,1979
BlAY=sut,Bass|HeavyMetal,2009
By Faith I Can Touch Him Now,Folk|Classic|Romance,1997
Wait On The Lord   LP Version ,Love|Solo,1997
Curiosity,Hate|Folk,1997
Fire  Orange Factory Dub ,Folk|Classic,1997
Music Of The Sun,Folk|Classic,2005
Width Of The World,Folk|Classic|Romance,2000
Houston Anthem,Folk|Romance,1997
Til The Storm Passes By,Folk|Classic,1997
Dinner Party Pool Music,Folk|Classic,2001
More Than One Love,Solo|Rap-Comb,1997
Pegadito,Solo|Rap-Comb,1997
Street Lights,Solo|Rap-Comb,2008
Death of Me,Love|Solo|Rap-Comb,1997
More Than Vocals  MTV ,Classic|Romance,1997
Sentimento  Asteri_ Asteraki ,Love|Jazz|Classic,1997
Slips Of Paper,Classic,2003
Mesmerise The Future Part 1,Folk,1997
Backseat Driver,Love|Classic|Romance|HeavyMetal,1998
Refuge,Classic|Romance,2004
Sex,Solo,1997
Engel,Folk|Classic,1997
Oh Little Town Of Bethlehem,Folk|Classic,1997
Old Memory,Art|Rap-Comb,2008
The Lord Will Go Before You,Love|Rap-Comb,1997
Mama Talk To Your Daughter  take 2 ,Classic|Musical,1997
Grow Proper,Folk,2005
My Chickasay Girl,Folk,1997
Soorma,Base|Classic|Romance|HeavyMetal,2005
Flamme & co,Folk|Musical,2004
Welcome To Hell,Musical,1997
Boyfriend,Folk|Musical|Romance,1993
We've Only Just Begun  LP Version ,Jazz|Folk,1971
Night Won't Last Forever_ The  Kingdom Come Album Version ,Documentary,1999
All The Difference In The World,Folk|Romance,1997
Memmer?    U Memmer!,Jazz|Hate,1997
Koronoko,Folk|Romance,2008
See You Comin',Folk,1997
Megalodon,Folk|Base,2004
Telepathy Ted Haggard Got Cured of the Gay,Folk,2010
Be My Lover,Folk,2008
Washed Away,Love|Jazz|HeavyMetal,1992
Angel Of Heaven's Gate,Love|Jazz|Folk|Western,1997
American Ghost Dance  2003 Digital Remastered ,Documentary,1985
Voices,Folk,1997
Song 2,Solo|HeavyMetal,2009
Binaural Presentation   Focus On A Beam Emptied Of Thinking_ Outward   ,Love|Classic|Romance|War,1997
Sophisticated Lady,Jazz|Folk|Romance,1955
Watch Them,Folk|Base,1997
I Guess I'm Crazy,Love|Jazz|Romance|HeavyMetal,1990
Asheville Turnaround,HeavyMetal,1997
Pour toute la vie,Love|Jazz|HeavyMetal,1997
Spacer,Classic,1997
Morning's Coming,Love|Jazz|Rap-Comb|HeavyMetal,1997
Backlash,Love|Jazz|HeavyMetal,1997
Broke Down On The Brazos  Album ,Folk|Classic,2009
Popsy,Classic,1997
She's About A Mover,Love|Classic|War,1997
Christe Eleison  Christ Have Mercy   Center Of My Universe Album Version ,Folk,1997
Come See,Solo|Rap-Comb,1963
Ghetto,Classic,2003
This White Circle,Solo,1997
WristStraining Order,Documentary,2008
Radio Roy II,Love|Jazz|Classic|War,1997
Down at the Mardi Gras,Classic,1997
Love Dump  Demo Version ,Solo|Rap-Comb,1997
No Satellites,Solo|Rap-Comb|HeavyMetal,1999
Roorasty,Solo|Rap-Comb|HeavyMetal,1997
Chinz Ninja  Rui Da Silva mix ,Solo|Rap-Comb|HeavyMetal,1997
Call Of Da Wild,Solo|Rap-Comb|HeavyMetal,1994
Dirty Diana,Solo|Rap-Comb|HeavyMetal,1987
Single Man Blues,Love|Folk|Base,1997
Mother's Day Part 1,Classic|Romance,1997
I'd Like To Be,Folk,1994
Weightless  Demo ,Folk|Western,1997
Conqueror Worm,Jazz|Hate,2005
White Christmas,Jazz|Hate,2005
Arrows Of The Gods,Jazz|Hate|Folk|Classic,2000
San Juan,Folk|Musical|Romance,1997
Classic Material,Classic|Solo,1997
Groovin' With Jimmy,Documentary,1997
Au mariage des Levon Lecu  Live ,Classic,1997
Wonderful Peace,Documentary|Musical,1997
Mate Tron,Documentary,2007
Time Will Tell,Love|Classic|HeavyMetal|Western,1997
Ladies And Gentlemen,Love|Base|Classic|HeavyMetal,2009
E,Base|Classic|Film,1999
Deviate From The Form,Classic|Romance,2006
Mambo Tipico,Folk|Classic|Romance,1993
The Door,Solo|Rap-Comb|HeavyMetal,1997
Dichoso,Jazz|Rock|Rap-Comb,1997
Better Luck Next Time,Folk,2005
Todo Lo Que Soy,Folk,1999
La mujer que no sone  Album ,Folk,1997
Baby Don't You Change,Folk,2005
Early In The Morning,Folk|Solo,2002
Sportin' Life,Folk|Solo,1997
Valse Des Montagnes,Folk|Solo,1997
